Día,T. Mínima,T. Máxima,Pais,,,
1,10.4,22.7,asd,,,
2,7.5,25.1,Etretret,,,
3,8.9,30.4,asd,,,
4,10.2,20.8,a,,,
5,11,24,sdf,,,
6,8.5,25.7,ads,,,
7,8.7,26.2,dsa,,,
8,12.8,23.3,asd,,,
9,6.5,23.3,d,,,
10,9.3,21.4,asd,,,
11,5.1,29.3,as,,,
12,6.1,30.2,d,,,
13,7.5,31.4,asd,,,
14,8.7,27.6,as,,,
15,8.6,27.1,er,,,
16,8.9,27.2,tr,,,
17,9.9,20.2,as,,,
18,10,24.2,s,,,
19,7.8,20.8,df,,,
20,8.8,21,g,,,
21,9.8,22.6,er,,,
22,7.1,22.2,g,,,
23,10.9,14.2,fsd,,,
24,6.3,23.6,sdf,,,
25,5.6,25.4,f,,,
26,5.9,25.7,sdf,,,
27,5.7,21.9,sdf,,,
28,5.8,25.4,sdf,,,
29,6.2,23.6,fsd,,,
30,8.9,15.7,sfsd,,,